epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
14,2.2038362789,0.7740723724,4.6343883080,2.0490218313,0.5071958349,2.8206379164,0.8752753598,4.6447511537,2.6455828667,0.8113042712,0.000156314595954,202,176,False,1
15,2.2163491123,0.7688808164,4.6343537008,2.0625729946,0.5256521637,2.2912361940,0.7966709001,4.6361793200,2.1319020135,0.4684299335,0.00017138578854,180,198,True,0
16,2.0144383466,0.6793599353,4.6306508685,1.8785663471,0.4945298935,2.1550445806,0.7283251087,4.6348671232,2.0093795458,0.4015078410,0.000186287942409,200,178,True,0
17,2.1370386415,0.6844985778,4.6318862325,2.0001389041,0.5030909632,3.0559516839,0.8764972664,4.6491855122,2.8806522347,0.9295997864,0.000200857332385,196,182,False,1
18,1.9592414609,0.6488080555,4.6288582610,1.8294798779,0.3978208877,2.2895135357,0.7578724907,4.6368511155,2.1379390194,0.4615531980,0.000214933889261,206,172,False,2
19,2.1477686552,0.6761987629,4.6304950260,2.0125289304,0.5022229964,2.7776907716,0.9284712133,4.6445716177,2.5919965381,0.7721382678,0.000228362958428,185,193,False,3
20,2.0838184823,0.6946132227,4.6311751093,1.9448958490,0.4943393368,2.5125024387,0.8024371510,4.6410465695,2.3520149980,0.5392989085,0.000240996999018,197,181,False,4
21,2.0302208303,0.6583222895,4.6302551769,1.8985563782,0.4250286930,2.7350357873,0.8136516872,4.6440465428,2.5723054523,0.8343592953,0.000252697204885,199,179,False,5
22,1.8000580009,0.6029857974,4.6248836643,1.6794608276,0.3264592121,1.7651084673,0.6530755355,4.6252355121,1.6344933669,0.1823612931,0.000263335029626,174,204,True,0
23,1.9952339413,0.6267305291,4.6286004763,1.8698878175,0.4349433668,1.8104015078,0.6672608387,4.6261273611,1.6769493466,0.2024562998,0.000272793598879,176,202,False,1
24,1.8858593822,0.6088358631,4.6255342039,1.7640922297,0.3635731819,2.0985258216,0.7897793895,4.6320555051,1.9405699208,0.3546829618,0.000280968994381,199,179,False,2
25,1.9101760198,0.6185891357,4.6261307146,1.7864581889,0.4160184258,2.1968725068,0.8318999177,4.6353942144,2.0304925192,0.4058621512,0.000287771395688,197,181,False,3
26,1.9097070246,0.6295875642,4.6265566362,1.7837895054,0.4125542685,3.2988918214,0.9325694300,4.6525291216,3.1123779297,1.1046712110,0.000293126067003,188,190,False,4
27,2.0217523783,0.5955220130,4.6275250798,1.9026478939,0.4825930056,1.9077338219,0.6580825936,4.6296280225,1.7761173067,0.3093591734,0.000296974178272,190,188,False,5
28,1.7568625899,0.5366647275,4.6226904758,1.6495295984,0.3275483531,2.1605761948,0.7767512651,4.6335678827,2.0052259411,0.4014647025,0.000299273451532,195,183,False,6
29,2.0254218004,0.6275715759,4.6276354209,1.8999074817,0.4489170366,2.0107937472,0.7010515650,4.6307835261,1.8705834434,0.3434742583,0.000299999737735,184,194,False,7
30,1.7978841426,0.6165005650,4.6239982988,1.6745840696,0.3604488332,1.8816577298,0.8047249658,4.6262627147,1.7207127333,0.1988957567,0.000299836114086,186,192,False,8
31,1.9465678035,0.6400947208,4.6269688859,1.8185488894,0.3877825635,1.6515038331,0.7277651429,4.6217912629,1.5059508210,0.1184211357,0.000299370741653,191,187,True,0
32,1.9604966489,0.6167106373,4.6265194883,1.8371545411,0.4188598781,1.7438348827,0.6803337211,4.6244140716,1.6077681405,0.1663771590,0.000298604557633,191,187,False,1
33,1.7337417262,0.5729923882,4.6229430355,1.6191432381,0.3164493994,1.6082217568,0.5415763435,4.6209269751,1.4999064922,0.1318937881,0.000297539105019,197,181,True,0
