evaluation_run,checkpoint,dataset,protocol,aggregation,split_begin,split_end,number_of_recordings,number_of_measurements,mae_bpm,mae_standard_error_bpm,recording_macro_rmse_bpm,accuracy_within_5_bpm_percent,completion_status
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,6.231441910097373,0.64641779280035,10.49688985030642,79.97369904189367,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,4.554251534598214,0.5789984535722517,5.936817593050611,82.79158699808795,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,COHFACE,Official,recording,0.0,1.0,160,160,6.9059405940594045,0.6544045270388369,6.9059405940594045,59.375,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,13.439861080772141,0.6625436106714663,20.541630390272097,49.8422712933754,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,9.529554094587052,0.47243308070449036,12.675602246003567,50.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,PURE,Official,recording,0.8,1.0,12,12,0.4050405040504034,0.11251125112511237,0.4050405040504034,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,PURE,Old,window_to_recording,0.8,1.0,12,735,1.3768925279137374,0.17366451296487503,3.362032276873807,98.63945578231292,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,PURE,PRISM,window_to_recording,0.8,1.0,12,77,4.987280709402902,2.0307488266517155,7.872463161181977,88.31168831168831,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,TokyoTech,Official,recording,0.0,1.0,9,9,1.4401440144014426,0.4569920855603897,1.4401440144014426,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,3.4963839579224194,1.3003540029720047,7.135382596546366,89.48060486522024,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,2.123305376838235,0.7235316276110954,3.2511710018569167,92.15686274509804,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-PHYS,Official,recording,0.0,1.0,60,60,7.7767776777677735,1.359952306355046,7.7767776777677735,63.33333333333333,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,20.61439842209073,1.9469914213129258,27.55960481332291,42.455621301775146,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,16.422190946691178,1.4696473775850663,21.58764436432904,43.13725490196079,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-rPPG,Official,recording,0.0,1.0,42,42,1.9801980198019808,0.6749552412920867,1.9801980198019808,92.85714285714286,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-rPPG,Old,window_to_recording,0.0,1.0,42,2280,2.503946225473501,0.355351361971882,5.071031926233769,94.38596491228071,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-rPPG,PRISM,window_to_recording,0.0,1.0,42,239,1.6069684709821428,0.2581839668538864,2.3718802993134545,94.97907949790795,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,BH-rPPG,Official,recording,0.0,1.0,105,105,4.171274270284172,0.6453443449192476,4.171274270284172,83.80952380952381,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,6.844487128184607,0.7466613007057854,10.1445109849191,77.39996242720271,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,4.689488002232143,0.5578754587931365,6.19766882286369,81.26195028680688,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,COHFACE,Official,recording,0.0,1.0,160,160,10.055130513051305,0.9132377488636251,10.055130513051305,55.00000000000001,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,13.254471517891357,0.5462342936288692,19.072031092007087,48.325649114292645,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,10.161143711635045,0.5639416263170637,13.240597103112282,49.75308641975308,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,PURE,Official,recording,0.8,1.0,12,12,0.3150315031503131,0.09979098931630669,0.3150315031503131,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,PURE,Old,window_to_recording,0.8,1.0,12,735,1.1308152221349392,0.1594275616337787,2.3918361346243247,98.77551020408163,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,PURE,PRISM,window_to_recording,0.8,1.0,12,77,1.69525146484375,0.5881463684336103,2.9761728175247484,96.1038961038961,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,TokyoTech,Official,recording,0.0,1.0,9,9,2.1002100210021033,0.969220237190577,2.1002100210021033,77.77777777777779,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,4.249178172255095,2.3487495231156115,5.77882579602198,86.45627876397107,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,3.60251034007353,2.1191470462489828,4.6381880495125785,86.27450980392157,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-PHYS,Official,recording,0.0,1.0,60,60,8.325832583258327,1.5551665294756865,8.325832583258327,65.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,17.600098619329387,1.6399413549868407,23.203985734252196,45.16765285996055,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,15.516465130974263,1.5385286765334316,20.405098900994588,46.76470588235294,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-rPPG,Official,recording,0.0,1.0,42,42,1.1315417256011304,0.24384241130373238,1.1315417256011304,95.23809523809523,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-rPPG,Old,window_to_recording,0.0,1.0,42,2280,1.6371213440446781,0.21620401187794155,3.086244549461452,96.97368421052632,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-rPPG,PRISM,window_to_recording,0.0,1.0,42,239,1.2204851422991072,0.15147507563100407,1.7494983453995172,95.81589958158996,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,BH-rPPG,Official,recording,0.0,1.0,105,105,5.559984569885561,0.8456404675834973,5.559984569885561,79.04761904761905,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,10.021475256769376,1.057653768258848,15.553968546205585,72.74093556265264,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,6.06884765625,0.7687797443793385,8.21609832634001,78.77629063097514,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,COHFACE,Official,recording,0.0,1.0,160,160,9.464446444644466,0.9109028599110327,9.464446444644466,59.375,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,15.809779341168255,0.6651166683464823,23.14894181158061,47.85246299441883,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,12.159291948590958,0.6463047574875728,16.28955129279919,48.641975308641975,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,PURE,Official,recording,0.8,1.0,12,12,0.3150315031503131,0.07685981672636916,0.3150315031503131,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,PURE,Old,window_to_recording,0.8,1.0,12,735,1.3591564780684966,0.4099714452440988,3.333291663826197,97.55102040816327,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,PURE,PRISM,window_to_recording,0.8,1.0,12,77,1.40380859375,0.5132339929723625,2.695239799306401,97.40259740259741,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,TokyoTech,Official,recording,0.0,1.0,9,9,0.7800780078007803,0.2561505845557684,0.7800780078007803,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,1.8606180144641682,0.5849116489574738,3.9035417294454877,93.88560157790927,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,1.4713062959558825,0.5635161470493771,2.739812078711158,94.77124183006535,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,UBFC-PHYS,Official,recording,0.0,1.0,60,60,9.396939693969399,1.390410381460583,9.396939693969399,55.00000000000001,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,24.5250493096647,2.0590981979759224,31.587751000932283,37.0414201183432,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,18.880974264705888,1.5256182835587244,24.410544060165854,37.450980392156865,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,UBFC-rPPG,Official,recording,0.0,1.0,42,42,1.2472675839012466,0.25360009410686496,1.2472675839012466,95.23809523809523,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,UBFC-rPPG,Old,window_to_recording,0.0,1.0,42,2280,2.953940566384876,0.5196262404103714,6.4749586567809585,91.9298245614035,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED104,UBFC-rPPG,PRISM,window_to_recording,0.0,1.0,42,239,2.189113071986607,0.4889653851115826,3.877122997472189,91.63179916317992,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,BH-rPPG,Official,recording,0.0,1.0,105,105,2.3248039089623256,0.4432932093864164,2.3248039089623256,93.33333333333333,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED101,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,5.1825583566760045,0.6126973595689419,8.800750396206318,83.52432838624836,PASSED
