epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
64,0.8292487522,0.3580103602,4.6170748933,1.5152933768,0.2567684202,0.6961485187,0.5081791026,4.6106034279,1.1890253782,0.0092323353,0.000149720101941,181,50,49,49,49,197,False,2
65,0.7634753632,0.3326310022,4.6149139329,1.3938983174,0.1927134103,0.7028322174,0.4666974874,4.6114654269,1.2189854406,0.0133068005,0.000142990698517,195,45,45,54,39,183,False,3
66,0.7968536199,0.3595163701,4.6138359529,1.4499006568,0.1918038827,0.6951625920,0.4895015472,4.6107813336,1.1945245629,0.0117159165,0.000136275412101,177,54,51,36,60,201,False,4
67,0.7977714709,0.3458749786,4.6143525416,1.4571929451,0.1871525028,0.7142106340,0.5203685834,4.6117963745,1.2202738410,0.0219282314,0.000129587766388,175,42,52,54,55,203,False,5
68,0.7321851493,0.3386601669,4.6124647055,1.3289062390,0.1464562151,0.6946685076,0.4706203512,4.6107575099,1.2010888770,0.0126004781,0.000122941229404,193,46,47,42,50,185,False,6
69,0.7460838004,0.2999898135,4.6126730429,1.3721716738,0.1647626879,0.6857412770,0.4539257243,4.6104292552,1.1899122556,0.0072291276,0.000116349186392,204,33,50,40,51,174,True,0
70,0.7642894608,0.3167631959,4.6145370347,1.4018736573,0.1690358952,0.7098032287,0.5103148301,4.6114272481,1.2154805127,0.0158446468,0.000109824912848,188,51,36,51,52,190,False,1
71,0.7724059413,0.3309949444,4.6153704805,1.4124138412,0.1856894945,0.6900236294,0.4693329584,4.6104520253,1.1923140866,0.0094526186,0.000103381547792,195,61,35,39,48,183,False,2
72,0.7157495321,0.2849608557,4.6138837123,1.3175146983,0.1461496263,0.6856443536,0.4073603091,4.6108199528,1.2083445890,0.0095132207,9.70320673025e-05,190,50,47,51,40,188,True,0
73,0.7754040149,0.3267068456,4.6151260598,1.4201253060,0.1867806688,0.6808020121,0.4495555299,4.6103161721,1.1817818029,0.0071641601,9.07892583887e-05,191,44,54,49,40,187,True,0
74,0.7450959373,0.3003124226,4.6125602874,1.3700669443,0.1922640939,0.6843946542,0.4316694759,4.6100979669,1.1961215099,0.0166966501,8.46656932369e-05,192,48,48,44,46,186,False,1
75,0.7645019056,0.3193246189,4.6143563891,1.4012739740,0.1730394935,0.6823902141,0.4659806280,4.6098668416,1.1783881789,0.0090591406,7.86737038924e-05,174,38,55,59,52,204,False,2
76,0.7094320784,0.2987887443,4.6127289969,1.2993486218,0.1245462071,0.6740104102,0.4250963029,4.6100884074,1.1779823088,0.0087738946,7.28253574243e-05,188,46,41,41,62,190,True,0
77,0.7808214732,0.3389209542,4.6136431391,1.4260745925,0.1730474944,0.6783730053,0.4479655890,4.6101627032,1.1775597856,0.0074203135,6.7132431624e-05,194,44,48,40,52,184,False,1
78,0.7201507735,0.2850919669,4.6124730388,1.3262647453,0.1511378774,0.6702925534,0.4028552708,4.6101289431,1.1794430074,0.0063914963,6.16063912866e-05,192,49,50,46,41,186,True,0
79,0.7437717073,0.2894722420,4.6141437525,1.3717544842,0.1781397327,0.6658757914,0.3825230337,4.6101322038,1.1787423815,0.0061277436,5.62583651217e-05,185,52,41,51,49,193,True,0
80,0.7292898802,0.3041081786,4.6133817516,1.3369364795,0.1484978629,0.7045155894,0.5535676349,4.6101988293,1.1876041253,0.0077128791,5.10991233425e-05,195,41,47,57,38,183,False,1
81,0.7127143223,0.2932488745,4.6134941893,1.3081290999,0.1359424620,0.6697578328,0.4123572015,4.6099410738,1.1745727925,0.0056670719,4.61390559751e-05,200,47,54,41,36,178,False,2
82,0.7536630000,0.3021480974,4.6124017478,1.3864667302,0.1794702786,0.6676087079,0.4286606982,4.6096989405,1.1637531337,0.0042297768,4.13881519353e-05,192,47,45,55,39,186,False,3
83,0.7516936420,0.3073358719,4.6148264951,1.3804529785,0.1722041349,0.6815844178,0.4810285619,4.6097922280,1.1707574277,0.0060942141,3.68559789114e-05,199,38,46,47,48,179,False,4
84,0.7365643114,0.3163390957,4.6121628045,1.3465930387,0.1501755781,0.6726477379,0.4378206054,4.6098359244,1.1701672327,0.0060683459,3.25516640969e-05,196,50,42,39,51,182,False,5
85,0.7211554098,0.3236053881,4.6117682205,1.3128686639,0.1326422453,0.6623158285,0.3968949659,4.6096958705,1.1658736717,0.0055860417,2.84838758088e-05,197,52,48,38,43,181,True,0
86,0.7778128332,0.3147755527,4.6154554761,1.4297154416,0.1979723477,0.6670330326,0.4217003777,4.6097047760,1.1653859104,0.0057409417,2.46608060315e-05,185,44,41,47,61,193,False,1
87,0.7306200912,0.3094985658,4.6090210228,1.3374407298,0.1510018868,0.6740396102,0.4491417749,4.6097492445,1.1684225151,0.0060126996,2.10901539186e-05,185,40,52,54,47,193,False,2
88,0.7522234157,0.3124095455,4.6128953096,1.3794829927,0.1779928309,0.6692542661,0.4365410447,4.6096171016,1.1638920886,0.0053889900,1.77791102885e-05,193,48,46,51,40,185,False,3
89,0.7439033007,0.3173063852,4.6116765719,1.3608840931,0.1456880566,0.6708858342,0.4505902251,4.6095352899,1.1615355764,0.0053131816,1.47343431422e-05,180,46,51,44,57,198,False,4
90,0.7741495838,0.3128622102,4.6131533164,1.4231542847,0.1981469081,0.6726381671,0.4444705208,4.6096715564,1.1674881322,0.0058263404,1.19619842357e-05,185,57,53,39,44,193,False,5
91,0.7310525393,0.2974358948,4.6127847742,1.3431307336,0.1526033239,0.6672719149,0.4252827389,4.6096252532,1.1644307386,0.0054886005,9.46761673074e-06,191,45,52,43,47,187,False,6
92,0.7445655453,0.3026744507,4.6136758063,1.3680613489,0.1879844183,0.6670853876,0.4230874856,4.6096630096,1.1649357773,0.0057099578,7.25626395162e-06,183,47,51,53,44,195,False,7
93,0.7720380583,0.3295935224,4.6145321503,1.4122386527,0.1912564126,0.6726811727,0.4476509185,4.6096261297,1.1663019907,0.0059143234,5.3323792685e-06,192,39,54,40,53,186,False,8
94,0.7314589087,0.3041313964,4.6132968620,1.3412652344,0.1503226677,0.6603055880,0.3891067425,4.6096501169,1.1649684679,0.0055915560,3.69983712912e-06,194,40,56,41,47,184,True,0
95,0.7636168618,0.3280421639,4.6140091053,1.3960168999,0.1731367804,0.6808248804,0.4806232254,4.6096676463,1.1694004558,0.0065882435,2.36192525606e-06,195,39,48,50,46,183,False,1
96,0.7354626009,0.3040694414,4.6120417484,1.3492973866,0.1483815736,0.6639453536,0.4053261870,4.6096928415,1.1657602310,0.0055801438,1.32133802579e-06,195,45,47,52,39,183,False,2
97,0.7520688123,0.3166714773,4.6140057246,1.3774690029,0.1622864759,0.6730874873,0.4366293601,4.6097011385,1.1715232418,0.0061386439,5.80171042515e-07,182,50,53,52,41,196,False,3
98,0.7210233196,0.2962503503,4.6119245348,1.3235465156,0.1636439857,0.6570097009,0.3687845247,4.6096823465,1.1665055729,0.0056554643,1.39916917895e-07,186,40,53,52,47,192,True,0
99,0.7434148896,0.3051277719,4.6134896985,1.3647786366,0.1641657840,0.6665488010,0.4172807126,4.6096566473,1.1661853109,0.0055715165,1.46226514793e-09,194,38,48,51,47,184,False,1
