epoch,training_total_loss,training_base_loss,training_harmonic_loss,validation_total_loss,validation_base_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
32,4.7172954978,4.6830910779,0.3420444935,4.8133948644,4.7747945377,0.3860032804,0.000298604557633,378,0,False,3
33,4.7003549924,4.6713361791,0.2901864900,4.7790492966,4.7569539070,0.2209540998,0.000297539105019,378,0,False,4
34,4.7120788615,4.6817456351,0.3033326724,4.7021045685,4.6888540313,0.1325059080,0.000296176529491,378,0,True,0
35,4.6990148832,4.6693319189,0.2968276855,4.7008296058,4.6968656358,0.0396394203,0.000294519575094,378,0,True,0
36,4.6993852116,4.6704128634,0.2897245698,4.7282964797,4.7134782609,0.1481819821,0.000292571578714,378,0,False,1
37,4.7070466274,4.6744770146,0.3256957042,4.7134235564,4.7057835216,0.0764003465,0.000290336463357,378,0,False,2
38,4.7028124547,4.6747286433,0.2808387186,4.6822659265,4.6779527210,0.0431318199,0.000287818730248,378,0,True,0
39,4.7079700086,4.6730021573,0.3496792939,4.7016025225,4.6958568437,0.0574560248,0.000285023449765,378,0,False,1
40,4.7111321555,4.6783506504,0.3278150243,4.6979899406,4.6933818590,0.0460802380,0.000281956251232,378,0,False,2
41,4.6973360329,4.6709464820,0.2638950516,4.6847826140,4.6818490028,0.0293362456,0.000278623311578,378,0,False,3
42,4.6908600797,4.6678976937,0.2296243761,4.6925362042,4.6862210274,0.0631520932,0.000275031342901,378,0,False,4
43,4.7002555529,4.6723676005,0.2788788926,4.6811720031,4.6765378543,0.0463414794,0.000271187578947,378,0,True,0
44,4.6991402031,4.6714913429,0.2764890943,4.6872092338,4.6838231495,0.0338610059,0.000267099760545,378,0,False,1
45,4.6937145127,4.6661009486,0.2761342943,4.7419001216,4.7301881518,0.1171194950,0.000262776120018,378,0,False,2
46,4.6926101478,4.6693491709,0.2326110461,4.6964136305,4.6940359025,0.0237769135,0.000258225364602,378,0,False,3
47,4.6911054793,4.6653190366,0.2578647051,4.7079058011,4.7059370223,0.0196882449,0.000253456658913,378,0,False,4
48,4.6953132897,4.6693433908,0.2596998079,4.7343921253,4.7274787131,0.0691337261,0.000248479606489,378,0,False,5
49,4.7005221327,4.6718469246,0.2867520747,4.6904268174,4.6852084478,0.0521838598,0.000243304230452,378,0,False,6
50,4.6944833559,4.6679019045,0.2658144059,4.7071981294,4.6988389787,0.0835918492,0.000237940953321,378,0,False,7
