epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
20,2.1253050734,1.1161583142,4.6293574948,1.9020733897,0.3232563128,1.9570624534,1.0623372530,4.6269674363,1.7445950616,0.3498437676,0.000240865846846,596,0,True,0
21,2.1453079001,1.1265398392,4.6292345284,1.9199999587,0.3749236168,2.0955787851,0.9807076439,4.6329881185,1.8994372572,0.5444212088,0.000252571063021,596,0,False,1
22,2.2414919386,1.1289867411,4.6310759391,2.0156945350,0.4472309031,2.2468398856,1.0186926854,4.6340399532,2.0431014114,0.4263277638,0.000263216369444,596,0,False,2
23,2.5150589607,0.8176526735,4.6384300546,2.3515285174,0.5987817396,1.9292650130,0.8545184159,4.6293425808,1.7583612978,0.4270647780,0.000272684929211,596,0,True,0
24,2.0015242916,0.7026647961,4.6287843877,1.8609913276,0.3251644351,1.7443211512,0.6836294300,4.6234555926,1.6075953121,0.3165570873,0.000280872820727,596,0,True,0
25,1.9784819616,0.6468696686,4.6281200831,1.8491080367,0.3435943704,1.7456904820,0.7100296500,4.6220828279,1.6036845740,0.3169530882,0.000287690178294,596,0,False,1
26,1.8884837355,0.5901504483,4.6252883489,1.7704536691,0.2882484446,1.9187849187,0.7913216825,4.6264037281,1.7605206192,0.4198794144,0.000293062178424,596,0,False,2
27,1.7878813360,0.5389245925,4.6218968142,1.6800964023,0.2543824641,2.1501296805,0.9323827748,4.6303091607,1.9636531480,0.4988875118,0.00029692986106,596,0,False,3
28,1.7645820971,0.5283780642,4.6207699232,1.6589064854,0.2523374830,1.5757630924,0.5633115962,4.6163441980,1.4631007291,0.2305109244,0.00029925077669,596,0,True,0
29,1.8111248352,0.5218218341,4.6210546590,1.7067604657,0.2930900033,1.4696461860,0.5444214785,4.6151471262,1.3607618871,0.2018042066,0.000299999895385,596,0,True,0
30,1.7952145394,0.5097045790,4.6188335867,1.6932736179,0.2885907400,1.3687182077,0.4141293013,4.6111396690,1.2858924045,0.1377542872,0.000299840907969,596,0,True,0
31,1.6764568290,0.4889646549,4.6173638049,1.5786639220,0.2302196465,1.6695185110,0.6739883903,4.6198018619,1.5347208652,0.2680603651,0.000299380162113,596,0,False,1
32,1.6100685796,0.4657685701,4.6121679984,1.5169148805,0.2015310537,1.5963324308,0.6141577642,4.6154390372,1.4735009036,0.1922562651,0.0002986185857,596,0,False,2
33,1.6065472020,0.4668877773,4.6146707311,1.5131696343,0.1974657645,1.7577202692,0.5603774794,4.6215263156,1.6456447623,0.3373142812,0.000297557712442,596,0,False,3
