evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,UBFC-PHYS,Official,recording,60,33,9,0,0,0,18
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,UBFC-PHYS,Old,window,10140,3405,1171,1246,548,43,3727
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,UBFC-PHYS,PRISM,window,1020,381,132,101,38,0,368
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,UBFC-rPPG,Official,recording,42,33,0,0,0,0,9
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,UBFC-rPPG,Old,window,2280,1971,2,1,44,8,254
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,UBFC-rPPG,PRISM,window,239,208,0,0,2,0,29
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,BH-rPPG,Official,recording,105,97,3,0,0,0,5
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,BH-rPPG,Old,window,5323,4059,131,125,53,0,955
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,BH-rPPG,PRISM,window,523,436,7,3,0,0,77
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,COHFACE,Official,recording,160,122,5,1,2,0,30
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,COHFACE,Old,window,8242,4159,506,303,440,0,2834
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,COHFACE,PRISM,window,810,457,60,18,13,0,262
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,PURE,Old,window,735,720,2,0,0,0,13
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,PURE,PRISM,window,77,76,1,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,TokyoTech,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,TokyoTech,Old,window,1521,1372,2,0,12,0,135
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H200,TokyoTech,PRISM,window,153,143,0,0,0,0,10
