epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
50,4.6448755517,4.6448755517,0.0000000000,0.0000000000,4.6546905245,4.6546905245,0.0000000000,0.0000000000,0.000237940953321,197,181,False,4
51,4.6477986467,4.6477986467,0.0000000000,0.0000000000,4.6715822629,4.6715822629,0.0000000000,0.0000000000,0.000232400576021,194,184,False,5
52,4.6469845091,4.6469845091,0.0000000000,0.0000000000,4.6671991257,4.6671991257,0.0000000000,0.0000000000,0.000226694256136,194,184,False,6
53,4.6429184278,4.6429184278,0.0000000000,0.0000000000,4.6512486957,4.6512486957,0.0000000000,0.0000000000,0.000220833485433,193,185,False,7
54,4.6419571443,4.6419571443,0.0000000000,0.0000000000,4.6436298597,4.6436298597,0.0000000000,0.0000000000,0.000214830066727,195,183,True,0
55,4.6423638182,4.6423638182,0.0000000000,0.0000000000,4.6459804353,4.6459804353,0.0000000000,0.0000000000,0.000208696090101,174,204,False,1
56,4.6425239018,4.6425239018,0.0000000000,0.0000000000,4.6493172691,4.6493172691,0.0000000000,0.0000000000,0.00020244390857,200,178,False,2
57,4.6413128313,4.6413128313,0.0000000000,0.0000000000,4.6443848337,4.6443848337,0.0000000000,0.0000000000,0.000196086113195,181,197,False,3
58,4.6450323453,4.6450323453,0.0000000000,0.0000000000,4.6489770163,4.6489770163,0.0000000000,0.0000000000,0.00018963550773,190,188,False,4
59,4.6389443635,4.6389443635,0.0000000000,0.0000000000,4.6467826662,4.6467826662,0.0000000000,0.0000000000,0.000183105082835,204,174,False,5
60,4.6392181790,4.6392181790,0.0000000000,0.0000000000,4.6444979214,4.6444979214,0.0000000000,0.0000000000,0.000176507989917,188,190,False,6
61,4.6388220787,4.6388220787,0.0000000000,0.0000000000,4.6448333786,4.6448333786,0.0000000000,0.0000000000,0.000169857514644,178,200,False,7
62,4.6380921217,4.6380921217,0.0000000000,0.0000000000,4.6453675315,4.6453675315,0.0000000000,0.0000000000,0.000163167050187,184,194,False,8
63,4.6384455540,4.6384455540,0.0000000000,0.0000000000,4.6436675435,4.6436675435,0.0000000000,0.0000000000,0.000156450070251,186,192,False,9
64,4.6377699842,4.6377699842,0.0000000000,0.0000000000,4.6448823111,4.6448823111,0.0000000000,0.0000000000,0.000149720101941,186,192,False,10
