epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
61,0.8686866770,0.3889928299,4.6170162120,1.5817762903,0.2978468818,0.7015804524,0.5383361044,4.6108071827,1.1878264529,0.0119779743,0.000169857514644,172,48,49,57,52,206,False,3
62,0.8744099717,0.3975592844,4.6190048954,1.5897962088,0.2969108656,0.7686877898,0.4947385430,4.6158935819,1.3394801583,0.0748330483,0.000163167050187,196,43,51,49,39,182,False,4
63,0.8718630161,0.3790211740,4.6195532229,1.5921175839,0.2875374106,0.7412829734,0.5548480164,4.6141172636,1.2606267282,0.0386061748,0.000156450070251,194,44,35,51,54,184,False,5
64,0.7978074424,0.3392048084,4.6161324814,1.4599329227,0.2473099232,0.7680138276,0.4721416553,4.6166519755,1.3471709899,0.0650668203,0.000149720101941,180,50,55,48,45,198,False,6
65,0.7484572438,0.3074814141,4.6153332418,1.3739219147,0.1980831551,0.6813409334,0.4760892925,4.6100866136,1.1722461473,0.0086539755,0.000142990698517,182,49,54,44,49,196,True,0
66,0.7921832005,0.3414300565,4.6154306276,1.4477943869,0.2168418140,0.6980224218,0.5294975298,4.6105707850,1.1842458203,0.0139799469,0.000136275412101,193,40,40,59,46,185,False,1
67,0.8194997875,0.3386691011,4.6164657603,1.5035319429,0.2451561962,0.7963092463,0.5639123031,4.6173508417,1.3670535633,0.0888783504,0.000129587766388,181,48,40,55,54,197,False,2
68,0.8143202442,0.3226073078,4.6179078597,1.4995975242,0.2671104920,0.6830289358,0.3767367783,4.6117008618,1.2153631744,0.0197171662,0.000122941229404,184,47,42,54,51,194,False,3
69,0.7714005132,0.3210451973,4.6159879316,1.4143829907,0.2128330264,0.6717856447,0.4284836644,4.6101600102,1.1721778257,0.0125238880,0.000116349186392,187,40,48,59,44,191,True,0
70,0.7813631895,0.3156232296,4.6161491429,1.4364770449,0.2155901522,0.6921305452,0.4397732258,4.6109389033,1.2083518074,0.0220684712,0.000109824912848,202,46,49,30,51,176,False,1
71,0.7749761337,0.3160308670,4.6152830704,1.4235399198,0.1942642564,0.6748828950,0.4059356389,4.6104800633,1.1873915343,0.0149546868,0.000103381547792,192,43,41,54,48,186,False,2
72,0.7849788994,0.3134745913,4.6156082507,1.4445679699,0.1873451658,0.6848895419,0.4568292283,4.6104272343,1.1870473805,0.0157009841,9.70320673025e-05,212,42,42,43,39,166,False,3
73,0.7573258271,0.3101384002,4.6149550216,1.3905962857,0.1677833024,0.6625132277,0.4160502916,4.6094993092,1.1586063294,0.0116502312,9.07892583887e-05,197,49,44,44,44,181,True,0
74,0.7424149507,0.3034515088,4.6144925148,1.3634492764,0.1649125132,0.6749530247,0.4177265996,4.6104391280,1.1828154155,0.0124857877,8.46656932369e-05,200,48,43,41,46,178,False,1
75,0.7209798895,0.2869125329,4.6130178088,1.3271947733,0.1575036923,0.6620759090,0.4249862444,4.6095084054,1.1541573275,0.0079323595,7.86737038924e-05,177,52,52,52,45,201,True,0
76,0.7758370278,0.3256830026,4.6150406025,1.4214008492,0.2309053825,0.6908382966,0.4887925182,4.6104502315,1.1861595983,0.0154902081,7.28253574243e-05,185,52,42,60,39,193,False,1
77,0.7335892093,0.2914409116,4.6133498918,1.3506020989,0.1559422584,0.6850123320,0.4672117347,4.6105151676,1.1831399793,0.0136761449,6.7132431624e-05,187,46,56,43,46,191,False,2
78,0.7299377697,0.2838781208,4.6136592759,1.3463243063,0.1571928725,0.6832034508,0.4933765939,4.6099935577,1.1690562736,0.0126215669,6.16063912866e-05,179,58,44,54,43,199,False,3
79,0.7760005650,0.3115656892,4.6151983246,1.4273748694,0.1771520057,0.6760301397,0.4690049563,4.6098154113,1.1644582987,0.0094643267,5.62583651217e-05,204,49,48,37,40,174,False,4
80,0.7334180894,0.2952973838,4.6132814417,1.3487172190,0.1573187578,0.6616697130,0.3934596113,4.6097389539,1.1659555685,0.0092637593,5.10991233425e-05,189,41,54,47,47,189,True,0
81,0.7450245852,0.2922555470,4.6128332123,1.3731469294,0.1910340272,0.6805718666,0.4724001288,4.6099670319,1.1721836942,0.0118105863,4.61390559751e-05,181,40,63,46,48,197,False,1
82,0.8431847089,0.3332338841,4.6150600948,1.5530758068,0.2572366299,0.6913080681,0.5048927932,4.6103826296,1.1806590262,0.0149752741,4.13881519353e-05,192,45,48,50,43,186,False,2
83,0.7519906930,0.3107565181,4.6143194431,1.3796787987,0.1736823103,0.6731916484,0.4399034137,4.6100207783,1.1704219409,0.0123335997,3.68559789114e-05,172,48,52,46,60,206,False,3
84,0.7157460905,0.2945698405,4.6133604807,1.3136642629,0.1518401053,0.6798022327,0.4636821684,4.6101339749,1.1741316103,0.0124999261,3.25516640969e-05,199,45,41,53,40,179,False,4
85,0.7400777028,0.3041975020,4.6126036190,1.3584764168,0.1627597017,0.6704833280,0.4252957072,4.6098783130,1.1708483753,0.0106179753,2.84838758088e-05,193,45,47,51,42,185,False,5
86,0.7817434325,0.3143002167,4.6157987105,1.4377667935,0.2072439627,0.6636065358,0.4087299602,4.6095997220,1.1637210971,0.0090089064,2.46608060315e-05,200,42,46,43,47,178,False,6
87,0.7341270242,0.3008117384,4.6133393888,1.3479293478,0.1738518834,0.6673969785,0.4265244927,4.6097038042,1.1641841684,0.0096517622,2.10901539186e-05,207,42,49,24,56,171,False,7
88,0.7232892983,0.2982660130,4.6134108109,1.3272721824,0.1497885143,0.6617003605,0.4080858798,4.6095314707,1.1601663817,0.0087206724,1.77791102885e-05,196,49,44,39,50,182,False,8
