epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
18,0.1342294792,0.4639375071,4.6293864250,1.8890401604,0.4144197762,0.1614688761,0.6188722559,4.6339383352,1.9838186991,0.3769442400,0.000214933889261,206,172,True,0
19,0.1477609527,0.4958562856,4.6292768004,2.0015950115,0.4858968881,0.1588524726,0.6172866464,4.6336979139,1.8986821356,0.3539514118,0.000228362958428,185,193,True,0
20,0.1457589000,0.4676093737,4.6306944221,1.9863933167,0.5223702486,0.1485276949,0.5689455941,4.6310082526,1.8705814679,0.3473857359,0.000240996999018,197,181,True,0
21,0.1380765791,0.4516291137,4.6302376878,2.0013639523,0.4775075375,0.1299581337,0.5163194259,4.6274142901,1.7340505350,0.2669424627,0.000252697204885,199,179,True,0
22,0.1089067580,0.3778941176,4.6245001334,1.7360919834,0.3332793128,0.1841788890,0.6680403880,4.6357705162,2.1324598222,0.5057081118,0.000263335029626,174,204,False,1
23,0.1289030876,0.4205231498,4.6282375956,1.9270019285,0.4479845859,0.2896786917,0.9586847021,4.6490537053,2.8951836858,0.9794174382,0.000272793598879,176,202,False,2
24,0.1176197518,0.4073992731,4.6256086435,1.8237099786,0.3613989363,0.2445970263,0.9215812172,4.6403826032,2.3058961005,0.6028077951,0.000280968994381,199,179,False,3
25,0.1154776922,0.3788545989,4.6243078847,1.7912917465,0.3970677048,0.1152982912,0.4986611020,4.6236467044,1.5815015918,0.1556606801,0.000287771395688,197,181,True,0
26,0.1044425702,0.3543070604,4.6237918889,1.7315251241,0.3358115287,0.1308632234,0.5516033939,4.6247613453,1.5950923409,0.2054254369,0.000293126067003,188,190,False,1
27,0.1090899204,0.3521334041,4.6257402203,1.8733378529,0.3866323983,0.1693608342,0.7342013717,4.6250932784,1.6149229334,0.2252055804,0.000296974178272,190,188,False,2
28,0.1030625590,0.3488211682,4.6232504819,1.7246454021,0.3329832442,0.1568995947,0.6430038106,4.6302609671,1.8162574859,0.2829883048,0.000299273451532,195,183,False,3
29,0.1287691847,0.4037181010,4.6266904306,1.9534015164,0.4802556188,0.0917570845,0.4084118009,4.6187454769,1.4618163495,0.1007472304,0.000299999737735,184,194,True,0
30,0.0992027213,0.3238635981,4.6226751388,1.6906591862,0.3443000307,0.0871729446,0.3917168038,4.6177880151,1.4144205968,0.0882958281,0.000299836114086,186,192,True,0
31,0.1142571247,0.3762626321,4.6260637127,1.9043156016,0.3900459747,0.1475118123,0.6502837561,4.6221112297,1.5744193963,0.1745505845,0.000299370741653,191,187,False,1
32,0.1040687515,0.3429345739,4.6246878811,1.8408329525,0.3548183402,0.1454238003,0.5810845994,4.6274179322,1.7817026275,0.2920687725,0.000298604557633,191,187,False,2
33,0.0887846092,0.2826250598,4.6206407295,1.6499960706,0.3225959544,0.0810943946,0.3692435077,4.6166861852,1.3818845034,0.0724569214,0.000297539105019,197,181,True,0
