epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
42,2.0453273651,0.5406540806,4.6222624299,1.6461595890,0.2910368937,1.6267243567,0.6172019107,4.6185863313,1.4108319487,0.0924520196,0.000275031342901,192,49,51,37,49,186,True,0
43,2.2866138163,0.5598891505,4.6253453689,1.7942813761,0.3803546242,1.8316405103,0.6579011122,4.6224600156,1.5371488969,0.1629113806,0.000271187578947,190,45,45,40,58,188,False,1
44,2.2693968128,0.6237106639,4.6257910123,1.7788079044,0.3658467994,1.7096801781,0.6394342945,4.6190067972,1.4607719671,0.1210213507,0.000267099760545,185,58,49,39,47,193,False,2
45,2.2968349659,0.5802848172,4.6243307199,1.7772565355,0.4035214542,2.1593599002,0.6860627169,4.6290556226,1.7829083136,0.2392390300,0.000262776120018,181,39,53,54,51,197,False,3
46,2.1663219008,0.6054803518,4.6239927585,1.7126315252,0.3325943221,1.7770445233,0.5651434938,4.6213544846,1.5000246048,0.1639912157,0.000258225364602,174,54,50,57,43,204,False,4
47,2.1437600744,0.5961131706,4.6224208761,1.6950601875,0.3294772458,1.7047519684,0.6381414533,4.6192151024,1.4501720701,0.1269516096,0.000253456658913,173,53,46,45,61,205,False,5
48,2.1944619676,0.6310659439,4.6244681298,1.7396880060,0.3285607588,2.6084102631,0.8082974275,4.6362932478,2.0508238134,0.3959269569,0.000248479606489,189,35,54,57,43,189,False,6
49,2.2571499934,0.6218162305,4.6261605788,1.7930932972,0.3396933759,2.0730434452,0.6161369965,4.6265152977,1.6928464606,0.2569695643,0.000243304230452,180,53,44,54,47,198,False,7
50,2.0462525080,0.5509397220,4.6222032895,1.6351407665,0.3009237847,1.6880425794,0.5733669026,4.6193310465,1.4736689942,0.0997001953,0.000237940953321,193,40,50,44,51,185,False,8
51,2.1094644606,0.5846322204,4.6219718847,1.6722713841,0.3202665688,2.3867258776,0.6364116748,4.6297108332,1.8605576844,0.3988858741,0.000232400576021,197,49,42,52,38,181,False,9
52,2.1300526637,0.6042380450,4.6231967457,1.6790081319,0.3301970017,3.0772959982,0.8286631732,4.6390326091,2.2842225813,0.6273407790,0.000226694256136,202,38,45,44,49,176,False,10
