epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
12,6.9287389574,4.8530423477,2.0756966664,1.0902207964,7.0652730397,4.8442442622,2.2210287832,1.0266926800,0.000126327462015,197,181,False,1
13,6.9633204723,4.8525708744,2.1107497354,1.0874251525,6.9681945074,4.8423150244,2.1258794194,1.0225925207,0.000141239947004,182,196,True,0
14,6.7296179565,4.8509554333,1.8786624361,1.1035903490,6.7731881596,4.8396116892,1.9335764669,1.0333955072,0.000156314595954,178,200,True,0
15,7.0238387093,4.8533492391,2.1704897048,1.0873615887,7.1412826583,4.8500084196,2.2912742524,1.0420864423,0.00017138578854,188,190,False,1
16,6.8103546289,4.8536344331,1.9567203333,1.1082399547,6.6937286468,4.8386422611,1.8550864106,1.0395266760,0.000186287942409,180,198,True,0
17,6.7526284299,4.8496299345,1.9029987294,1.0917173365,6.7764921007,4.8377244268,1.9387676898,1.0234356222,0.000200857332385,196,182,False,1
18,6.6708556660,4.8482634252,1.8225920591,1.0987760693,7.2494638625,4.8433629535,2.4061009452,1.0079660007,0.000214933889261,184,194,False,2
19,6.7327439419,4.8498740625,1.8828699545,1.1016732965,7.0299339658,4.8430778958,2.1868561313,1.0162925459,0.000228362958428,204,174,False,3
20,6.6221549448,4.8456607218,1.7764942961,1.0936765551,6.7055546670,4.8436811493,1.8618735166,1.0649755625,0.000240996999018,206,172,False,4
21,6.8198244761,4.8436673735,1.9761571436,1.0645418394,6.4639205251,4.8340507553,1.6298697869,1.0379399742,0.000252697204885,190,188,True,0
22,6.6090283470,4.8484197067,1.7606086851,1.1023154051,6.3406609263,4.8286465690,1.5120144152,1.0326004482,0.000263335029626,192,186,True,0
23,6.5751438822,4.8478122413,1.7273318313,1.1103646667,6.6467006002,4.8307523909,1.8159481889,1.0137504396,0.000272793598879,188,190,False,1
24,6.5150540872,4.8447948688,1.6702592442,1.1023463828,6.4204915410,4.8366622607,1.5838292326,1.0665553842,0.000280968994381,194,184,False,2
25,6.4502550155,4.8442435744,1.6060114878,1.1004732172,6.3463354292,4.8293775604,1.5169578575,1.0441699414,0.000287771395688,197,181,False,3
26,6.6648046277,4.8416671501,1.8231375123,1.0716945620,6.5024544262,4.8277973538,1.6746570371,1.0120401133,0.000293126067003,184,194,False,4
27,6.5590346528,4.8420356872,1.7169990041,1.0792314357,6.2408135278,4.8331208184,1.4076927185,1.0715902033,0.000296974178272,191,187,True,0
28,6.5614918981,4.8415964066,1.7198953641,1.0828919253,6.2258509409,4.8326167334,1.3932341950,1.0681956393,0.000299273451532,187,191,True,0
29,6.5829556833,4.8406076961,1.7423480289,1.0806730355,7.6174953915,4.8474843525,2.7700110208,1.0059392974,0.000299999737735,178,200,False,1
30,6.8481712341,4.8418435445,2.0063276304,1.0534520364,6.3082035700,4.8286344347,1.4795691967,1.0357507717,0.000299836114086,185,193,False,2
31,6.6989561162,4.8417241990,1.8572317633,1.0646718772,6.3096685546,4.8261327516,1.4835358245,1.0207375016,0.000299370741653,201,177,False,3
32,6.6040307277,4.8458840582,1.7581464563,1.0962522572,6.3332852137,4.8400913693,1.4931938989,1.0930163225,0.000298604557633,210,168,False,4
33,6.5158449481,4.8438632980,1.6719817352,1.1026492832,6.2792099998,4.8384748777,1.4407351289,1.0980404377,0.000297539105019,190,188,False,5
34,6.7258559005,4.8404931038,1.8853627986,1.0643512648,6.2344947134,4.8223551296,1.4121395293,1.0177988677,0.000296176529491,194,184,False,6
35,6.6189883373,4.8385359774,1.7804522880,1.0675554610,6.3551119850,4.8216565768,1.5334554014,0.9946756386,0.000294519575094,193,185,False,7
36,6.5464763414,4.8442249248,1.7022515050,1.0929508222,6.1724847203,4.8328873226,1.3395974488,1.0842817851,0.000292571578714,179,199,True,0
37,6.5707319376,4.8418931078,1.7288388991,1.0826441346,6.2027782531,4.8270152592,1.3757629463,1.0468733651,0.000290336463357,183,195,False,1
38,6.5134609894,4.8370052444,1.6764556725,1.0628775295,6.1961843218,4.8205137253,1.3756705443,1.0136626539,0.000287818730248,191,187,False,2
39,6.6756906232,4.8348783841,1.8408121829,1.0423619817,6.2356312525,4.8282433601,1.4073878686,1.0496974241,0.000285023449765,187,191,False,3
40,6.5366879216,4.8375137723,1.6991741865,1.0645131639,6.1838527679,4.8229535693,1.3608992259,1.0298615524,0.000281956251232,191,187,False,4
